window_index,start_time_sec,end_time_sec,rms_energy,zero_crossing_rate,spectral_centroid_hz,spectral_rolloff_hz,band_energy_0_500,band_energy_500_2000,band_energy_2000_5000,band_energy_5000_10000
0,0.0,0.1,5924.725644,0.052303,1569.92,2740.0,29725.821674,13370.786555,10019.638695,3006.792835
1,0.05,0.15,7376.778062,0.01792,2060.16,3830.0,42688.567133,15820.847689,13869.208055,4834.978238
2,0.1,0.2,8513.126434,0.017295,2223.93,4830.0,42747.833775,14688.164964,13440.088159,5408.377371
3,0.15,0.25,9481.107431,0.022921,1984.79,4160.0,42040.527312,13103.073246,9520.925215,4566.71902
4,0.2,0.3,9654.609984,0.017504,2518.01,5900.0,41739.93422,12102.301842,7390.509002,3857.509184
5,0.25,0.35,10086.780593,0.007502,1523.33,2500.0,43497.405699,8835.943336,5257.498521,2693.532445
6,0.3,0.4,11094.030044,0.009169,1539.36,2470.0,46298.616498,8438.549959,5225.395415,2850.706986
7,0.35,0.45,11495.930044,0.006251,1440.44,2240.0,46993.438206,8801.695101,5026.460479,2675.079201
8,0.4,0.5,11501.986832,0.005418,1730.59,2960.0,45460.039673,11858.288535,7370.988694,3388.997934
9,0.45,0.55,11886.694133,0.00896,1938.59,3520.0,53620.706553,15649.914355,9483.112145,4812.980661
10,0.5,0.6,11764.255281,0.011669,2109.58,3870.0,54600.162857,22543.053614,12449.49976,6070.599613
11,0.55,0.65,10149.51615,0.019171,1444.87,2790.0,52392.306064,21893.016148,15903.182911,5163.109283
12,0.6,0.7,8612.035748,0.024172,1859.66,3460.0,46836.458002,24218.327202,19800.512409,6618.136606
13,0.65,0.75,7850.556827,0.019171,1592.32,3150.0,46646.022891,25534.287363,20903.477587,6607.626246
14,0.7,0.8,6870.125823,0.026464,2565.61,4920.0,43117.589676,27535.932839,22397.346565,8450.529029
15,0.75,0.85,7034.031766,0.027089,1997.23,3880.0,38629.08503,26988.92058,21960.565436,7487.012615
16,0.8,0.9,8123.174534,0.018546,2249.34,4110.0,42398.962058,26263.001069,16018.601941,6724.840244
17,0.85,0.95,8337.874821,0.017295,1998.91,3690.0,34337.613679,21400.053233,14640.802558,5428.005238
18,0.9,1.0,7390.779509,0.011669,1397.63,2760.0,33786.499806,16030.633269,10299.723086,3613.629992
19,0.95,1.05,6761.625875,0.016879,1983.69,3660.0,36270.062692,16358.720504,12448.989586,4550.191359
20,1.0,1.1,9543.866485,0.022088,2518.06,4570.0,47429.364959,21827.068413,21129.848293,7236.113998
21,1.05,1.15,11992.342792,0.014586,2023.45,3360.0,55823.037685,30671.254262,23312.156433,6748.521729
22,1.1,1.2,11529.910222,0.013336,2059.67,3360.0,54019.382983,30478.684899,23928.592379,6272.582157
23,1.15,1.25,11124.517506,0.014795,2938.3,5780.0,53610.364833,29814.475872,25338.520951,9609.925462
24,1.2,1.3,11316.040222,0.012711,2477.41,4420.0,55340.44003,30487.260486,23128.945097,7943.29877
25,1.25,1.35,9739.821945,0.016253,1969.47,3630.0,44856.426164,26794.238853,18021.381632,6061.630496
26,1.3,1.4,8861.544065,0.016045,2370.94,4260.0,49042.127051,31152.250902,18112.527965,7637.660234
27,1.35,1.45,8893.146928,0.016879,1782.72,3160.0,52129.105488,28784.490808,17298.020572,6092.650342
28,1.4,1.5,8215.044569,0.02438,1915.32,3720.0,42977.767588,30080.803781,24710.126255,7328.18286
29,1.45,1.55,7788.068799,0.025422,1862.12,3710.0,42097.643144,30229.234057,26616.632385,7774.57145
30,1.5,1.6,7805.480056,0.024172,1941.46,3700.0,42284.964455,27886.964298,24387.543572,7458.709626
31,1.55,1.65,8858.031711,0.020838,1590.91,3080.0,50624.480585,26710.937968,21126.948154,6347.968235
32,1.6,1.7,9214.021048,0.02438,2190.43,4210.0,48731.220986,29938.767039,23797.293479,8335.109842
33,1.65,1.75,9921.071718,0.029173,1770.81,3620.0,49631.650127,30705.300429,27564.51121,8516.712325
34,1.7,1.8,10046.056559,0.025422,1751.06,3390.0,52480.126991,27234.751628,26540.271183,7791.541647
35,1.75,1.85,8092.390812,0.021463,1836.36,3280.0,44223.821424,23867.778737,18401.438098,5832.656515
36,1.8,1.9,6603.68484,0.019796,1810.25,3220.0,34995.519892,17660.023814,13397.988204,4051.744863
37,1.85,1.95,7795.083662,0.01667,1349.92,2740.0,43694.563317,20772.780512,14908.579409,4145.264929
38,1.9,2.0,7918.711025,0.013961,2280.75,4460.0,38647.351347,18439.287873,11087.778585,4784.851776
39,1.95,2.05,7431.293721,0.012294,1869.09,3380.0,40431.237093,18178.091455,8879.041128,3684.754387
40,2.0,2.1,7464.160854,0.011044,1720.66,3050.0,40295.87869,19371.60419,9316.01393,3877.642255
41,2.05,2.15,7396.468702,0.017712,1774.1,3280.0,39171.806127,20972.211495,10935.502849,4257.213061
42,2.1,2.2,7327.468505,0.021254,2205.66,3950.0,39636.500773,20407.867753,16479.618003,5217.274263
43,2.15,2.25,7504.643014,0.020213,2439.23,4470.0,40674.963375,24749.903877,19508.209573,6277.575121
44,2.2,2.3,7782.920713,0.016045,2417.8,4480.0,45114.107801,25175.371309,14120.370038,6456.063875
45,2.25,2.35,7811.170038,0.018754,1902.48,3370.0,39306.70916,19139.827552,16166.628817,5509.142853
46,2.3,2.4,8478.248596,0.018546,2069.19,3780.0,44216.900662,20891.197184,17646.87522,5862.016165
47,2.35,2.45,9138.88247,0.01417,2005.98,3680.0,47579.889802,24169.550878,16606.14312,5502.243326
48,2.4,2.5,8120.961781,0.019587,1668.16,3130.0,42706.332374,23400.19445,16947.832886,4888.920746
49,2.45,2.55,7165.236588,0.019796,2636.91,4980.0,37992.18582,22635.477212,15545.69991,6291.853728
50,2.5,2.6,9366.159913,0.022088,1705.8,3100.0,49828.060983,26031.058451,20412.963752,6400.905301
51,2.55,2.65,11180.407643,0.024172,1687.7,3440.0,56839.192648,28447.670178,28225.797492,8342.653148
52,2.6,2.7,10249.995645,0.024172,1979.93,3810.0,52587.128675,32079.178762,28523.739046,8803.405153
53,2.65,2.75,9026.136006,0.023755,1654.24,3340.0,50461.054516,28178.996779,21865.441181,7434.815811
54,2.7,2.8,8628.997213,0.023755,1670.64,3340.0,48444.058296,29895.596613,21732.378756,6798.684023
55,2.75,2.85,8730.022654,0.026255,1924.24,3700.0,47909.734206,30940.30825,28609.264622,8466.674205
56,2.8,2.9,9073.360779,0.030631,2290.34,4220.0,50369.164535,33636.263458,31471.549488,9756.845904
57,2.85,2.95,9377.332195,0.024172,1555.05,3220.0,54207.182548,34381.151292,23264.899561,7400.003386
58,2.9,3.0,10002.445734,0.017504,1519.89,2940.0,57209.118581,32978.673642,19375.890573,6678.186927
59,2.95,3.05,9857.716821,0.016045,2032.2,3700.0,49089.593835,32764.754904,18769.264506,7265.84267
60,3.0,3.1,10285.124734,0.014378,2337.33,4110.0,56412.934502,28192.48101,20108.363631,7449.648301
61,3.05,3.15,10895.862961,0.018129,2449.85,4170.0,50800.610937,30547.704673,25556.095503,7509.13395
62,3.1,3.2,11376.797713,0.013336,1490.86,2820.0,51501.636584,25835.967269,21084.504649,5144.768663
63,3.15,3.25,11453.154412,0.010002,1954.44,3270.0,55197.210708,27898.594284,22290.71053,6159.170268
64,3.2,3.3,10932.987013,0.013128,1753.94,3110.0,55099.723021,27155.933182,22771.445017,6313.819125
65,3.25,3.35,8327.139364,0.021254,1687.83,2960.0,42316.628569,18265.45123,18027.994811,4934.743077
66,3.3,3.4,6234.27759,0.017504,1926.02,3520.0,33071.431982,15063.455039,8779.78543,3925.043464
67,3.35,3.45,6847.389745,0.009794,1837.63,3210.0,40805.631624,13460.010295,6905.864821,3676.711041
68,3.4,3.5,6631.500868,0.010002,1469.66,2750.0,36119.82649,15262.732155,7461.522614,2984.129412
69,3.45,3.55,7339.967007,0.011461,2135.46,3900.0,38765.263468,15661.781854,8388.593722,3777.76683
70,3.5,3.6,7180.88178,0.013961,1783.6,3320.0,41396.141778,17770.332006,10703.462214,3894.099698
71,3.55,3.65,7088.320035,0.015212,2184.44,3770.0,44104.705349,24399.99744,15456.68392,5667.749821
72,3.6,3.7,7102.509574,0.018546,2034.2,3480.0,39697.175171,21991.492795,17186.977334,4962.737894
73,3.65,3.75,6690.10624,0.020421,1979.22,3500.0,34329.895835,19500.448219,14408.273206,4348.106432
74,3.7,3.8,6993.719271,0.017504,1882.75,3480.0,38143.693093,19998.405607,10405.725437,4284.197053
75,3.75,3.85,7420.06726,0.010002,1650.97,3020.0,40830.833468,19380.075107,10024.328743,3926.170496
76,3.8,3.9,7555.269561,0.009585,1447.86,2800.0,42975.118287,17779.185594,8666.802552,3354.72922
77,3.85,3.95,8002.868317,0.011044,2501.75,5010.0,39689.055015,20960.377519,11525.245911,5419.253107
78,3.9,4.0,8167.988154,0.018129,1600.57,2980.0,44839.582716,22100.792457,15967.721686,4530.650512
79,3.95,4.05,9447.675829,0.020629,2016.33,3560.0,58931.008361,25052.287761,18144.15215,6317.684832
80,4.0,4.1,9941.728126,0.02188,1924.54,3690.0,56880.906458,35703.325279,22664.834665,8156.408912
81,4.05,4.15,9151.41501,0.029173,1993.53,3840.0,49459.095606,35461.580417,32523.699696,9645.335895
82,4.1,4.2,9244.653634,0.024588,1886.59,3620.0,51446.128262,33741.4295,29217.181488,8940.538905
83,4.15,4.25,9050.119618,0.021254,1735.8,3480.0,49919.030716,31896.075565,23047.258177,7315.405638
84,4.2,4.3,9410.98557,0.023963,2129.56,3920.0,52471.145316,29018.443032,23880.310315,8056.805542
85,4.25,4.35,10255.050514,0.027297,2349.11,4460.0,53644.182808,32418.50638,28881.724245,9385.465467
86,4.3,4.4,11103.923847,0.02313,2135.83,4090.0,55405.679174,29694.703452,28506.773061,9123.993166
87,4.35,4.45,9351.73502,0.020838,1590.78,3020.0,49028.93835,25221.798547,20004.127138,6340.273946
88,4.4,4.5,6600.588301,0.021254,1470.31,2760.0,34259.724914,20730.284317,15288.164614,4270.276932
89,4.45,4.55,7616.369962,0.017504,1622.77,3000.0,42859.08306,20884.508269,15236.597778,4279.309154
90,4.5,4.6,8196.129805,0.013961,2080.73,3820.0,43819.699722,21722.984837,14224.447587,4899.919154
91,4.55,4.65,8027.13144,0.011461,2618.59,5420.0,44215.107671,18756.781492,10988.777411,5533.301548
92,4.6,4.7,7372.413672,0.012086,1717.8,3110.0,38949.25673,17447.401829,8713.480417,3393.013534
